INSERT INTO Customer (customer_id, customer_name, address, phone_number, email) VALUES
('CS00017', 'Rani Nur Permana', 'Jl. Bungur No.1 RT7/RW2', '081210000017', 'rani.nur.permana@mail.com'),
('CS00018', 'Vega Sari Prasetyo', 'Jl. Yos Sudarso No.1 RT8/RW2', '081210000018', 'vega.sari.prasetyo@mail.com'),
('CS00019', 'Amelia Putra', 'Jl. Tidar No.1 RT9/RW2', '081210000019', 'amelia.putra@mail.com'),
('CS00020', 'Omar Ramli', 'Jl. Waru No.1 RT10/RW2', '081210000020', 'omar.ramli@mail.com'),
('CS00021', 'Farhan Putra', 'Jl. Kenari No.1 RT1/RW3', '081210000021', 'farhan.putra@mail.com'),
('CS00022', 'Farah Santoso Silva', 'Jl. Kenjeran No.1 RT2/RW3', '081210000022', 'farah.santoso.silva@mail.com'),
('CS00023', 'Rizal Santoso', 'Jl. Gajah Mada No.1 RT3/RW3', '081210000023', 'rizal.santoso@mail.com'),
('CS00024', 'Praba Utama', 'Jl. Diponegoro No.1 RT4/RW3', '081210000024', 'praba.utama@mail.com'),
('CS00025', 'Rizky Khan', 'Jl. Kapten Tendean No.1 RT5/RW3', '081210000025', 'rizky.khan@mail.com'),
('CS00026', 'Dian Trianto', 'Jl. Garuda No.1 RT6/RW3', '081210000026', 'dian.trianto@mail.com'),
('CS00027', 'Andi Anggraeni Putra', 'Jl. Bunga No.1 RT7/RW3', '081210000027', 'andi.anggraeni.putra@mail.com'),
('CS00028', 'Agus Nur Setiawan', 'Jl. Anggrek No.1 RT8/RW3', '081210000028', 'agus.nur.setiawan@mail.com'),
('CS00029', 'Eka Suryanto', 'Jl. Flamboyan No.1 RT9/RW3', '081210000029', 'eka.suryanto@mail.com'),
('CS00030', 'Nico Lee', 'Jl. Pelangi No.1 RT10/RW3', '081210000030', 'nico.lee@mail.com'),
('CS00031', 'Yulia Wijanto', 'Jl. Merdeka No.2 RT1/RW4', '081210000031', 'yulia.wijanto@mail.com'),
('CS00032', 'Asep Sari Lestari', 'Jl. Sudirman No.2 RT2/RW4', '081210000032', 'asep.sari.lestari@mail.com'),
('CS00033', 'Liam Trianto', 'Jl. Ahmad Yani No.2 RT3/RW4', '081210000033', 'liam.trianto@mail.com'),
('CS00034', 'Milo Lee Wulandari', 'Jl. Raya Darmo No.2 RT4/RW4', '081210000034', 'milo.lee.wulandari@mail.com'),
('CS00035', 'Reno Permata Anggraeni', 'Jl. Kenanga No.2 RT5/RW4', '081210000035', 'reno.permata.anggraeni@mail.com'),
('CS00036', 'Hana Lestari', 'Jl. Ketintang No.2 RT6/RW4', '081210000036', 'hana.lestari@mail.com'),
('CS00037', 'Raka Hidayat Tan', 'Jl. Veteran No.2 RT7/RW4', '081210000037', 'raka.hidayat.tan@mail.com'),
('CS00038', 'Praba Sumarno', 'Jl. Basuki Rahmat No.2 RT8/RW4', '081210000038', 'praba.sumarno@mail.com'),
('CS00039', 'Aria Sutanto', 'Jl. Bojonegoro No.2 RT9/RW4', '081210000039', 'aria.sutanto@mail.com'),
('CS00040', 'Indra Saputra', 'Jl. Mulyo No.2 RT10/RW4', '081210000040', 'indra.saputra@mail.com'),
('CS00041', 'Zidan Wahyu Yusuf', 'Jl. Gedongan No.2 RT1/RW5', '081210000041', 'zidan.wahyu.yusuf@mail.com'),
('CS00042', 'Mason John Irawan', 'Jl. Pahlawan No.2 RT2/RW5', '081210000042', 'mason.john.irawan@mail.com'),
('CS00043', 'Eka Wulandari', 'Jl. Mawar No.2 RT3/RW5', '081210000043', 'eka.wulandari@mail.com'),
('CS00044', 'Reno Saputra Sumarno', 'Jl. Melati No.2 RT4/RW5', '081210000044', 'reno.saputra.sumarno@mail.com'),
('CS00045', 'Kai Lestari', 'Jl. Gubeng No.2 RT5/RW5', '081210000045', 'kai.lestari@mail.com'),
('CS00046', 'Daniel Kim Kurniawan', 'Jl. Rajawali No.2 RT6/RW5', '081210000046', 'daniel.kim.kurniawan@mail.com'),
('CS00047', 'Imam Saputra Permana', 'Jl. Bungur No.2 RT7/RW5', '081210000047', 'imam.saputra.permana@mail.com'),
('CS00048', 'Zoe Susanto', 'Jl. Yos Sudarso No.2 RT8/RW5', '081210000048', 'zoe.susanto@mail.com'),
('CS00049', 'Henry Anne Pratama', 'Jl. Tidar No.2 RT9/RW5', '081210000049', 'henry.anne.pratama@mail.com'),
('CS00050', 'Reno Utami Khan', 'Jl. Waru No.2 RT10/RW5', '081210000050', 'reno.utami.khan@mail.com'),
('CS00051', 'Citra Putri Kurniawan', 'Jl. Kenari No.2 RT1/RW6', '081210000051', 'citra.putri.kurniawan@mail.com'),
('CS00052', 'Oka Hartono Suryanto', 'Jl. Kenjeran No.2 RT2/RW6', '081210000052', 'oka.hartono.suryanto@mail.com'),
('CS00053', 'Mina Kusuma', 'Jl. Gajah Mada No.2 RT3/RW6', '081210000053', 'mina.kusuma@mail.com'),
('CS00054', 'Wulan Nur Utama', 'Jl. Diponegoro No.2 RT4/RW6', '081210000054', 'wulan.nur.utama@mail.com'),
('CS00055', 'Hesti Putra Tan', 'Jl. Kapten Tendean No.2 RT5/RW6', '081210000055', 'hesti.putra.tan@mail.com'),
('CS00056', 'Ava Kusuma', 'Jl. Garuda No.2 RT6/RW6', '081210000056', 'ava.kusuma@mail.com'),
('CS00057', 'Emma Sutanto', 'Jl. Bunga No.2 RT7/RW6', '081210000057', 'emma.sutanto@mail.com'),
('CS00058', 'Gilang Santoso', 'Jl. Anggrek No.2 RT8/RW6', '081210000058', 'gilang.santoso@mail.com'),
('CS00059', 'Luna Paul Maulana', 'Jl. Flamboyan No.2 RT9/RW6', '081210000059', 'luna.paul.maulana@mail.com'),
('CS00060', 'Oka Putri Utama', 'Jl. Pelangi No.2 RT10/RW6', '081210000060', 'oka.putri.utama@mail.com'),
('CS00061', 'Maya Utami Kurniawan', 'Jl. Merdeka No.3 RT1/RW7', '081210000061', 'maya.utami.kurniawan@mail.com'),
('CS00062', 'Teguh Setiawan', 'Jl. Sudirman No.3 RT2/RW7', '081210000062', 'teguh.setiawan@mail.com'),
('CS00063', 'Hannah James Sari', 'Jl. Ahmad Yani No.3 RT3/RW7', '081210000063', 'hannah.james.sari@mail.com'),
('CS00064', 'Elang Rahma Fauzan', 'Jl. Raya Darmo No.3 RT4/RW7', '081210000064', 'elang.rahma.fauzan@mail.com'),
('CS00065', 'Kirana Wahyu Khan', 'Jl. Kenanga No.3 RT5/RW7', '081210000065', 'kirana.wahyu.khan@mail.com'),
('CS00066', 'Agus Rahma Khan', 'Jl. Ketintang No.3 RT6/RW7', '081210000066', 'agus.rahma.khan@mail.com'),
('CS00067', 'Saleh Anggraeni Kirana', 'Jl. Veteran No.3 RT7/RW7', '081210000067', 'saleh.anggraeni.kirana@mail.com'),
('CS00068', 'Binar Martinez', 'Jl. Basuki Rahmat No.3 RT8/RW7', '081210000068', 'binar.martinez@mail.com'),
('CS00069', 'Tara Agustina', 'Jl. Bojonegoro No.3 RT9/RW7', '081210000069', 'tara.agustina@mail.com'),
('CS00070', 'Rian Putri Firdaus', 'Jl. Mulyo No.3 RT10/RW7', '081210000070', 'rian.putri.firdaus@mail.com'),
('CS00071', 'Ethan Irawan', 'Jl. Gedongan No.3 RT1/RW8', '081210000071', 'ethan.irawan@mail.com'),
('CS00072', 'Imam Khan', 'Jl. Pahlawan No.3 RT2/RW8', '081210000072', 'imam.khan@mail.com'),
('CS00073', 'Hana Sari Wong', 'Jl. Mawar No.3 RT3/RW8', '081210000073', 'hana.sari.wong@mail.com'),
('CS00074', 'Sinta Hartono', 'Jl. Melati No.3 RT4/RW8', '081210000074', 'sinta.hartono@mail.com'),
('CS00075', 'Joko Kurniawan', 'Jl. Gubeng No.3 RT5/RW8', '081210000075', 'joko.kurniawan@mail.com'),
('CS00076', 'Raisa Trianto', 'Jl. Rajawali No.3 RT6/RW8', '081210000076', 'raisa.trianto@mail.com'),
('CS00077', 'Citra Fauzan', 'Jl. Bungur No.3 RT7/RW8', '081210000077', 'citra.fauzan@mail.com'),
('CS00078', 'Mina Anne Nugroho', 'Jl. Yos Sudarso No.3 RT8/RW8', '081210000078', 'mina.anne.nugroho@mail.com'),
('CS00079', 'Eli Fauzan', 'Jl. Tidar No.3 RT9/RW8', '081210000079', 'eli.fauzan@mail.com'),
('CS00080', 'Binar Wahyu Rahman', 'Jl. Waru No.3 RT10/RW8', '081210000080', 'binar.wahyu.rahman@mail.com'),
('CS00081', 'Wira Ramadhan', 'Jl. Kenari No.3 RT1/RW9', '081210000081', 'wira.ramadhan@mail.com'),
('CS00082', 'Usman Anisa Utama', 'Jl. Kenjeran No.3 RT2/RW9', '081210000082', 'usman.anisa.utama@mail.com'),
('CS00083', 'Logan Alexander Kurnia', 'Jl. Gajah Mada No.3 RT3/RW9', '081210000083', 'logan.alexander.kurnia@mail.com'),
('CS00084', 'Yuda Putri Rahman', 'Jl. Diponegoro No.3 RT4/RW9', '081210000084', 'yuda.putri.rahman@mail.com'),
('CS00085', 'Tari Anisa Maulana', 'Jl. Kapten Tendean No.3 RT5/RW9', '081210000085', 'tari.anisa.maulana@mail.com'),
('CS00086', 'Bayu Wahyu Maulana', 'Jl. Garuda No.3 RT6/RW9', '081210000086', 'bayu.wahyu.maulana@mail.com'),
('CS00087', 'Indra Putra Irawan', 'Jl. Bunga No.3 RT7/RW9', '081210000087', 'indra.putra.irawan@mail.com'),
('CS00088', 'Zoe Irawan', 'Jl. Anggrek No.3 RT8/RW9', '081210000088', 'zoe.irawan@mail.com'),
('CS00089', 'Galih Putra Sukma', 'Jl. Flamboyan No.3 RT9/RW9', '081210000089', 'galih.putra.sukma@mail.com'),
('CS00090', 'Dhiya Nur Anggraeni', 'Jl. Pelangi No.3 RT10/RW9', '081210000090', 'dhiya.nur.anggraeni@mail.com'),
('CS00091', 'Bayu Wijaya', 'Jl. Merdeka No.4 RT1/RW10', '081210000091', 'bayu.wijaya@mail.com'),
('CS00092', 'Wira Arifin', 'Jl. Sudirman No.4 RT2/RW10', '081210000092', 'wira.arifin@mail.com'),
('CS00093', 'Eko Irawan', 'Jl. Ahmad Yani No.4 RT3/RW10', '081210000093', 'eko.irawan@mail.com'),
('CS00094', 'Kirana Nur Hartanto', 'Jl. Raya Darmo No.4 RT4/RW10', '081210000094', 'kirana.nur.hartanto@mail.com'),
('CS00095', 'Eko Utami Yusuf', 'Jl. Kenanga No.4 RT5/RW10', '081210000095', 'eko.utami.yusuf@mail.com'),
('CS00096', 'Indra Wahyu Gomez', 'Jl. Ketintang No.4 RT6/RW10', '081210000096', 'indra.wahyu.gomez@mail.com'),
('CS00097', 'Jessica Alexander Wulandari', 'Jl. Veteran No.4 RT7/RW10', '081210000097', 'jessica.alexander.wulandari@mail.com'),
('CS00098', 'Farah Hartono Gomez', 'Jl. Basuki Rahmat No.4 RT8/RW10', '081210000098', 'farah.hartono.gomez@mail.com'),
('CS00099', 'Vira Maulana', 'Jl. Bojonegoro No.4 RT9/RW10', '081210000099', 'vira.maulana@mail.com'),
('CS00100', 'Vega Agustina', 'Jl. Mulyo No.4 RT10/RW10', '081210000100', 'vega.agustina@mail.com'),
('CS00101', 'Praba Pratama Mustafa', 'Jl. Gedongan No.4 RT1/RW1', '081210000101', 'praba.pratama.mustafa@mail.com'),
('CS00102', 'Oka Rahma Martinez', 'Jl. Pahlawan No.4 RT2/RW1', '081210000102', 'oka.rahma.martinez@mail.com'),
('CS00103', 'Rian Gomez', 'Jl. Mawar No.4 RT3/RW1', '081210000103', 'rian.gomez@mail.com'),
('CS00104', 'Eko Arifin', 'Jl. Melati No.4 RT4/RW1', '081210000104', 'eko.arifin@mail.com'),
('CS00105', 'Cahaya Irawan', 'Jl. Gubeng No.4 RT5/RW1', '081210000105', 'cahaya.irawan@mail.com'),
('CS00106', 'Maya Rahman', 'Jl. Rajawali No.4 RT6/RW1', '081210000106', 'maya.rahman@mail.com'),
('CS00107', 'Umar Nur Arifin', 'Jl. Bungur No.4 RT7/RW1', '081210000107', 'umar.nur.arifin@mail.com'),
('CS00108', 'Eli Michael Irawan', 'Jl. Yos Sudarso No.4 RT8/RW1', '081210000108', 'eli.michael.irawan@mail.com'),
('CS00109', 'Rudi Irawan', 'Jl. Tidar No.4 RT9/RW1', '081210000109', 'rudi.irawan@mail.com'),
('CS00110', 'Jules Saputra', 'Jl. Waru No.4 RT10/RW1', '081210000110', 'jules.saputra@mail.com'),
('CS00111', 'Nanda Santoso', 'Jl. Kenari No.4 RT1/RW2', '081210000111', 'nanda.santoso@mail.com'),
('CS00112', 'Mega Nugroho Susanto', 'Jl. Kenjeran No.4 RT2/RW2', '081210000112', 'mega.nugroho.susanto@mail.com'),
('CS00113', 'Zidan Kurnia Firdaus', 'Jl. Gajah Mada No.4 RT3/RW2', '081210000113', 'zidan.kurnia.firdaus@mail.com'),
('CS00114', 'Bayu Fauzan', 'Jl. Diponegoro No.4 RT4/RW2', '081210000114', 'bayu.fauzan@mail.com'),
('CS00115', 'Yoga Putri Yusuf', 'Jl. Kapten Tendean No.4 RT5/RW2', '081210000115', 'yoga.putri.yusuf@mail.com'),
('CS00116', 'Ryan Paul Santoso', 'Jl. Garuda No.4 RT6/RW2', '081210000116', 'ryan.paul.santoso@mail.com'),
('CS00117', 'Saleh Kurnia', 'Jl. Bunga No.4 RT7/RW2', '081210000117', 'saleh.kurnia@mail.com'),
('CS00118', 'Bayu Shah', 'Jl. Anggrek No.4 RT8/RW2', '081210000118', 'bayu.shah@mail.com'),
('CS00119', 'Andini Hartono Nugraha', 'Jl. Flamboyan No.4 RT9/RW2', '081210000119', 'andini.hartono.nugraha@mail.com'),
('CS00120', 'Liam Irawan', 'Jl. Pelangi No.4 RT10/RW2', '081210000120', 'liam.irawan@mail.com'),
('CS00121', 'Yulia Permata Agustina', 'Jl. Merdeka No.5 RT1/RW3', '081210000121', 'yulia.permata.agustina@mail.com'),
('CS00122', 'Budi Wulandari', 'Jl. Sudirman No.5 RT2/RW3', '081210000122', 'budi.wulandari@mail.com'),
('CS00123', 'Chloe Lee Susanto', 'Jl. Ahmad Yani No.5 RT3/RW3', '081210000123', 'chloe.lee.susanto@mail.com'),
('CS00124', 'Reno Permata Khan', 'Jl. Raya Darmo No.5 RT4/RW3', '081210000124', 'reno.permata.khan@mail.com'),
('CS00125', 'Emma Utama', 'Jl. Kenanga No.5 RT5/RW3', '081210000125', 'emma.utama@mail.com'),
('CS00126', 'Chloe Firdaus', 'Jl. Ketintang No.5 RT6/RW3', '081210000126', 'chloe.firdaus@mail.com'),
('CS00127', 'Farhan Halim', 'Jl. Veteran No.5 RT7/RW3', '081210000127', 'farhan.halim@mail.com'),
('CS00128', 'Amelia Maulana', 'Jl. Basuki Rahmat No.5 RT8/RW3', '081210000128', 'amelia.maulana@mail.com'),
('CS00129', 'Damar Sukma', 'Jl. Bojonegoro No.5 RT9/RW3', '081210000129', 'damar.sukma@mail.com'),
('CS00130', 'Putri Wahyu Anggraeni', 'Jl. Mulyo No.5 RT10/RW3', '081210000130', 'putri.wahyu.anggraeni@mail.com'),
('CS00131', 'Ruby Permana', 'Jl. Gedongan No.5 RT1/RW4', '081210000131', 'ruby.permana@mail.com'),
('CS00132', 'Kirana Kirana', 'Jl. Pahlawan No.5 RT2/RW4', '081210000132', 'kirana.kirana@mail.com'),
('CS00133', 'Mega Hartono', 'Jl. Mawar No.5 RT3/RW4', '081210000133', 'mega.hartono@mail.com'),
('CS00134', 'Satya Sutanto', 'Jl. Melati No.5 RT4/RW4', '081210000134', 'satya.sutanto@mail.com'),
('CS00135', 'Hana Hidayat Wulandari', 'Jl. Gubeng No.5 RT5/RW4', '081210000135', 'hana.hidayat.wulandari@mail.com'),
('CS00136', 'Sam Silva', 'Jl. Rajawali No.5 RT6/RW4', '081210000136', 'sam.silva@mail.com'),
('CS00137', 'Ivy Wijanto', 'Jl. Bungur No.5 RT7/RW4', '081210000137', 'ivy.wijanto@mail.com'),
('CS00138', 'Satya Saputra Lestari', 'Jl. Yos Sudarso No.5 RT8/RW4', '081210000138', 'satya.saputra.lestari@mail.com'),
('CS00139', 'Fajar Wahyu Firdaus', 'Jl. Tidar No.5 RT9/RW4', '081210000139', 'fajar.wahyu.firdaus@mail.com'),
('CS00140', 'Surya Pratama Hartanto', 'Jl. Waru No.5 RT10/RW4', '081210000140', 'surya.pratama.hartanto@mail.com'),
('CS00141', 'Citra Wijaya Nugraha', 'Jl. Kenari No.5 RT1/RW5', '081210000141', 'citra.wijaya.nugraha@mail.com'),
('CS00142', 'Amelia Nugraha', 'Jl. Kenjeran No.5 RT2/RW5', '081210000142', 'amelia.nugraha@mail.com'),
('CS00143', 'Luca James Permana', 'Jl. Gajah Mada No.5 RT3/RW5', '081210000143', 'luca.james.permana@mail.com'),
('CS00144', 'Tari Kurnia', 'Jl. Diponegoro No.5 RT4/RW5', '081210000144', 'tari.kurnia@mail.com'),
('CS00145', 'Eli John Ramadhan', 'Jl. Kapten Tendean No.5 RT5/RW5', '081210000145', 'eli.john.ramadhan@mail.com'),
('CS00146', 'Kai John Permana', 'Jl. Garuda No.5 RT6/RW5', '081210000146', 'kai.john.permana@mail.com'),
('CS00147', 'Fajar Utami Firdaus', 'Jl. Bunga No.5 RT7/RW5', '081210000147', 'fajar.utami.firdaus@mail.com'),
('CS00148', 'Reno Nur Susanto', 'Jl. Anggrek No.5 RT8/RW5', '081210000148', 'reno.nur.susanto@mail.com'),
('CS00149', 'Raisa Putra Rahman', 'Jl. Flamboyan No.5 RT9/RW5', '081210000149', 'raisa.putra.rahman@mail.com'),
('CS00150', 'Logan Lee Ramadhan', 'Jl. Pelangi No.5 RT10/RW5', '081210000150', 'logan.lee.ramadhan@mail.com'),
('CS00151', 'Milo Permana', 'Jl. Merdeka No.6 RT1/RW6', '081210000151', 'milo.permana@mail.com'),
('CS00152', 'Jack Santoso', 'Jl. Sudirman No.6 RT2/RW6', '081210000152', 'jack.santoso@mail.com'),
('CS00153', 'Chloe Putra', 'Jl. Ahmad Yani No.6 RT3/RW6', '081210000153', 'chloe.putra@mail.com'),
('CS00154', 'Michael Anne Prasetyo', 'Jl. Raya Darmo No.6 RT4/RW6', '081210000154', 'michael.anne.prasetyo@mail.com'),
('CS00155', 'Tari Hidayat', 'Jl. Kenanga No.6 RT5/RW6', '081210000155', 'tari.hidayat@mail.com'),
('CS00156', 'Tari Hartanto', 'Jl. Ketintang No.6 RT6/RW6', '081210000156', 'tari.hartanto@mail.com'),
('CS00157', 'Lucas Anne Wulandari', 'Jl. Veteran No.6 RT7/RW6', '081210000157', 'lucas.anne.wulandari@mail.com'),
('CS00158', 'Indra Rahma Pratama', 'Jl. Basuki Rahmat No.6 RT8/RW6', '081210000158', 'indra.rahma.pratama@mail.com'),
('CS00159', 'Reno Nugraha', 'Jl. Bojonegoro No.6 RT9/RW6', '081210000159', 'reno.nugraha@mail.com'),
('CS00160', 'Wulan Wijaya Rahman', 'Jl. Mulyo No.6 RT10/RW6', '081210000160', 'wulan.wijaya.rahman@mail.com'),
('CS00161', 'Citra Permana', 'Jl. Gedongan No.6 RT1/RW7', '081210000161', 'citra.permana@mail.com'),
('CS00162', 'Lestari Wahyu Nugroho', 'Jl. Pahlawan No.6 RT2/RW7', '081210000162', 'lestari.wahyu.nugroho@mail.com'),
('CS00163', 'Raka Putri Halim', 'Jl. Mawar No.6 RT3/RW7', '081210000163', 'raka.putri.halim@mail.com'),
('CS00164', 'Zidan Maulana', 'Jl. Melati No.6 RT4/RW7', '081210000164', 'zidan.maulana@mail.com'),
('CS00165', 'Andi Nur Firdaus', 'Jl. Gubeng No.6 RT5/RW7', '081210000165', 'andi.nur.firdaus@mail.com'),
('CS00166', 'Leo Hidayat', 'Jl. Rajawali No.6 RT6/RW7', '081210000166', 'leo.hidayat@mail.com'),
('CS00167', 'Vira Putri Arifin', 'Jl. Bungur No.6 RT7/RW7', '081210000167', 'vira.putri.arifin@mail.com'),
('CS00168', 'Bryan Kim Sari', 'Jl. Yos Sudarso No.6 RT8/RW7', '081210000168', 'bryan.kim.sari@mail.com'),
('CS00169', 'Hana Trianto', 'Jl. Tidar No.6 RT9/RW7', '081210000169', 'hana.trianto@mail.com'),
('CS00170', 'Jaya Wijaya', 'Jl. Waru No.6 RT10/RW7', '081210000170', 'jaya.wijaya@mail.com'),
('CS00171', 'Mega Nugroho Hartono', 'Jl. Kenari No.6 RT1/RW8', '081210000171', 'mega.nugroho.hartono@mail.com'),
('CS00172', 'Cahyo Hartono Shah', 'Jl. Kenjeran No.6 RT2/RW8', '081210000172', 'cahyo.hartono.shah@mail.com'),
('CS00173', 'Asep Prasetyo', 'Jl. Gajah Mada No.6 RT3/RW8', '081210000173', 'asep.prasetyo@mail.com'),
('CS00174', 'Putri Pratama Arifin', 'Jl. Diponegoro No.6 RT4/RW8', '081210000174', 'putri.pratama.arifin@mail.com'),
('CS00175', 'Raisa Susanto', 'Jl. Kapten Tendean No.6 RT5/RW8', '081210000175', 'raisa.susanto@mail.com'),
('CS00176', 'Reno Pratama Gomez', 'Jl. Garuda No.6 RT6/RW8', '081210000176', 'reno.pratama.gomez@mail.com'),
('CS00177', 'Logan Wijaya', 'Jl. Bunga No.6 RT7/RW8', '081210000177', 'logan.wijaya@mail.com'),
('CS00178', 'Andini Susanto', 'Jl. Anggrek No.6 RT8/RW8', '081210000178', 'andini.susanto@mail.com'),
('CS00179', 'Vega Hartono Kurniawan', 'Jl. Flamboyan No.6 RT9/RW8', '081210000179', 'vega.hartono.kurniawan@mail.com'),
('CS00180', 'Ethan Firdaus', 'Jl. Pelangi No.6 RT10/RW8', '081210000180', 'ethan.firdaus@mail.com'),
('CS00181', 'Yuda Khan', 'Jl. Merdeka No.7 RT1/RW9', '081210000181', 'yuda.khan@mail.com'),
('CS00182', 'Luna Ramli', 'Jl. Sudirman No.7 RT2/RW9', '081210000182', 'luna.ramli@mail.com'),
('CS00183', 'Sophia Permana', 'Jl. Ahmad Yani No.7 RT3/RW9', '081210000183', 'sophia.permana@mail.com'),
('CS00184', 'Vira Wijaya', 'Jl. Raya Darmo No.7 RT4/RW9', '081210000184', 'vira.wijaya@mail.com'),
('CS00185', 'Fahri Firdaus', 'Jl. Kenanga No.7 RT5/RW9', '081210000185', 'fahri.firdaus@mail.com'),
('CS00186', 'Michael Michael Maulana', 'Jl. Ketintang No.7 RT6/RW9', '081210000186', 'michael.michael.maulana@mail.com'),
('CS00187', 'Eli Susanto', 'Jl. Veteran No.7 RT7/RW9', '081210000187', 'eli.susanto@mail.com'),
('CS00188', 'Rizky Wijanto', 'Jl. Basuki Rahmat No.7 RT8/RW9', '081210000188', 'rizky.wijanto@mail.com'),
('CS00189', 'Ilham Khan', 'Jl. Bojonegoro No.7 RT9/RW9', '081210000189', 'ilham.khan@mail.com'),
('CS00190', 'Eko Santoso Sutanto', 'Jl. Mulyo No.7 RT10/RW9', '081210000190', 'eko.santoso.sutanto@mail.com'),
('CS00191', 'Hesti Irawan', 'Jl. Gedongan No.7 RT1/RW10', '081210000191', 'hesti.irawan@mail.com'),
('CS00192', 'Mason Alexander Putra', 'Jl. Pahlawan No.7 RT2/RW10', '081210000192', 'mason.alexander.putra@mail.com'),
('CS00193', 'Mia Marie Ramli', 'Jl. Mawar No.7 RT3/RW10', '081210000193', 'mia.marie.ramli@mail.com'),
('CS00194', 'Dewi Nur Khan', 'Jl. Melati No.7 RT4/RW10', '081210000194', 'dewi.nur.khan@mail.com'),
('CS00195', 'Reno Yusuf', 'Jl. Gubeng No.7 RT5/RW10', '081210000195', 'reno.yusuf@mail.com'),
('CS00196', 'Hana Nugroho', 'Jl. Rajawali No.7 RT6/RW10', '081210000196', 'hana.nugroho@mail.com'),
('CS00197', 'Sinta Sumarno', 'Jl. Bungur No.7 RT7/RW10', '081210000197', 'sinta.sumarno@mail.com'),
('CS00198', 'Usman Santoso', 'Jl. Yos Sudarso No.7 RT8/RW10', '081210000198', 'usman.santoso@mail.com'),
('CS00199', 'Aditya Saputra Kurniawan', 'Jl. Tidar No.7 RT9/RW10', '081210000199', 'aditya.saputra.kurniawan@mail.com'),
('CS00200', 'Imam Tan', 'Jl. Waru No.7 RT10/RW10', '081210000200', 'imam.tan@mail.com'),
('CS00201', 'Amelia Suryanto', 'Jl. Kenari No.7 RT1/RW1', '081210000201', 'amelia.suryanto@mail.com'),
('CS00202', 'Maya Anisa Sari', 'Jl. Kenjeran No.7 RT2/RW1', '081210000202', 'maya.anisa.sari@mail.com'),
('CS00203', 'Chloe Paul Nugroho', 'Jl. Gajah Mada No.7 RT3/RW1', '081210000203', 'chloe.paul.nugroho@mail.com'),
('CS00204', 'Mega Nugroho Utama', 'Jl. Diponegoro No.7 RT4/RW1', '081210000204', 'mega.nugroho.utama@mail.com'),
('CS00205', 'Henry Anne Saputra', 'Jl. Kapten Tendean No.7 RT5/RW1', '081210000205', 'henry.anne.saputra@mail.com'),
('CS00206', 'Owen Michael Kirana', 'Jl. Garuda No.7 RT6/RW1', '081210000206', 'owen.michael.kirana@mail.com'),
('CS00207', 'Dewi Kurnia Lestari', 'Jl. Bunga No.7 RT7/RW1', '081210000207', 'dewi.kurnia.lestari@mail.com'),
('CS00208', 'Reno Putra Rahman', 'Jl. Anggrek No.7 RT8/RW1', '081210000208', 'reno.putra.rahman@mail.com'),
('CS00209', 'Rian Nur Hartono', 'Jl. Flamboyan No.7 RT9/RW1', '081210000209', 'rian.nur.hartono@mail.com'),
('CS00210', 'Grace Permana', 'Jl. Pelangi No.7 RT10/RW1', '081210000210', 'grace.permana@mail.com'),
